revision_id,revision_timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37
8891,25 Jan 2004 02:50,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief, unfortunately, is still espoused by some). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is primarily due to the fact that same-sex sexual activity required no birth control, and thus homosexuals were not using condoms, now known to be an effective barrier against AIDS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8890,25 Jan 2004 03:19,,"The use of condoms is recommended for all penetrative sexual activity. (Note: condoms are not 100% effective against pregnancy or disease transmission. Nevertheless, after abstinence, they are considered one of the best means of protection against the spread of HIV). Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered a high-risk activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, lubricants are recommended. Condoms are not compatible with oil-based lubricants. Use only water-based lubricants with condoms.","There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, but it is recommended not to ingest or take ejaculate into the mouth. The use of condoms (or dental dams for cunnilingus) during oral sex further reduces the potential risk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8878,25 Jan 2004 04:18,,,,"HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of condoms is recommended for all penetrative sexual activity. (Note: condoms are not 100% effective against pregnancy or disease transmission. Nevertheless, after abstinence, they are considered one of the best means of protection against the spread of HIV). Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered a high-risk activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, lubricants are recommended. Condoms are not compatible with oil-based lubricants. Use only water-based lubricants with condoms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8868,3 Feb 2004 10:31,,,"There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, since it has been shown that both saliva and stomach acid have antiviral properties which kill HIV, but it is usually recommended not to take semen into the mouth. The use of condoms (or dental dams for cunnilingus) during oral sex further reduces the potential risk.","HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against HIV for sexually active people. It has been repteadly shown that HIV cannot pass through latex condoms.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is the highest-risk sexual activity, but condoms are recommended for vaginal sex outside long-term monogamous relationships as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, water-based lubricants are recommended. Condoms are not compatible with oil-based lubricants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8863,3 Feb 2004 12:08,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that since birth control was unnecessary with same-sex partners, gay men were unlikely to use condoms, now considered one of the best ways to prevent the spread of HIV. The initial focus on gay men proved very damaging since it distracted attention from the rapid spread of HIV infection among heterosexuals, particularly in Africa and the Caribbean, and later in parts of Asia, and, some believe, because institutionalized homophobia prevented quick action against HIV and AIDS.",,"There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, since it has been shown that both saliva and stomach acid have antiviral properties which kill HIV, but it is usually recommended not to take semen into the mouth. The use of condoms (or dental dams for cunnilingus) further reduces the potential risk.","HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against HIV for sexually active people. It has been repeatedly shown that HIV cannot pass through latex condoms.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, the use of water-based lubricants is recommended. Condoms are not compatible with oil-based lubricants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8856,24 Feb 2004 13:28,,,,,"Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, the use of water-based lubricants is recommended. Condoms are not compatible with oil-based lubricants. (Using cling film as a replacement for condoms has been reported and is particularly ineffective - reports come from poorer communities and from experimenting young children. Elevating condom distribution to required levels, and sustaining useage over long periods of time is proving to be beyond attainment. Relapse and psycho-social issues relating to trust are contradictions of the safer-sex message.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8849,27 Feb 2004 05:45,,,"There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, since it has been shown that both saliva and stomach acid have antiviral properties which kill HIV - even so, it is usually recommended not to take semen into the mouth. The use of condoms (or dental dams for cunnilingus) further reduces the potential risk.",,"Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing, the use of water-based lubricants is recommended. Oil-based lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8826,15 Mar 2004 02:40,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that since birth control was unnecessary with same-sex partners, gay men were unlikely to use condoms, now considered one of the best ways to prevent the spread of HIV. The initial focus on gay men proved very damaging since it distracted attention from the rapid spread of HIV infection among heterosexuals, particularly in Africa and the Caribbean, and later in parts of Asia, and, some believe, because institutionalized homophobia prevented quick action against HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8822,16 Mar 2004 09:29,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, but this is in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways to prevent the spread of HIV.",,"There have been claims that a small number of people have been infected with HIV from performing oral sex on an infected partner, but these claims are disputed in the scientific community and have yet to be proven conclusively. Oral sex is considered a very low risk activity, since it has been shown that both saliva and stomach acid have antiviral properties which kill HIV. Nevertheless, it is usually recommended not to take semen into the mouth. The use of condoms (or dental dams for cunnilingus) further reduces the potential risk.","HIV transmission via sexual activity has been recorded from male to male, male to female, female to female and female to male. The use of latex condoms is recommended for all penetrative sexual activity. Condoms are not 100% effective against pregnancy or disease transmission, but if used correctly they are the best means of protection against the sexual transmission of HIV. It has been repeatedly shown that HIV cannot pass through latex condoms.","Anal sex, because of the delicacy of the tissues in the anus and the ease with which they can tear, is considered the highest-risk sexual activity, but condoms are recommended for vaginal sex as well. Condoms should be used only once, and then thrown away and a new condom used each time. Because of the risk of tearing (both of the condom and of skin and mucous membranes), the use of water-based lubricants is recommended. Oil-based lubricants should not be used with condoms as they can cause tears in the condom material by weakening the latex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8813,24 Mar 2004 06:53,"Gay men were frequently blamed for the advent and spread of AIDS in the west. Some claimed that AIDS was a punishment from God for homosexuality (this belief is still espoused by some religious groups, both Christian and Islamic). Others claimed that the ""depraved lifestyles"" of gay men were responsible. It is true that in the early years AIDS spread quickly through gay communities and that a majority of early sufferers were gay men, and this has been thought to be in part due to the fact that birth control was unnecessary with same-sex partners so gay men were unlikely to use condoms, now considered one of the best ways to prevent the spread of HIV. Less considered is the fact that almost all of gay sufferers from confirmed AIDS have been drug abusers, notably of nitrite inhalants, among others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
