revision_id,revision_timestamp,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27
8996,11/7/01 20:27,"There are many problems involved in establishing a course of treatment for HIV. Each effective drug comes with side effects, often serious and sometimes life-threatening in themselves. Common side effects include extreme nausea and diarrhea, liver damage and jaundice. Any treatment requires regular blood tests to test for continued efficacy (in terms of T-cell count and viral load), and liver function.",,,,,,,,,,,,,,,,,,,,,,,,,,
8946,9/11/03 20:17,,"There are many ""dissident"" groups, e.g. the ""Scientific Group for Reappraising the HIV-AIDS Hypothesis"". Dissident scientists report that they are usually denied access to AIDS conferences and research funding. The doubts of the dissidents concern the following aspects of AIDS research: the existence of retroviruses, the validity of testing methods, epidemiological conclusions, the existence of an independent ""AIDS"" disease and the use of methods such as PCR and viral load. See http://www.virusmyth.org/.",,,,,,,,,,,,,,,,,,,,,,,,,
8945,9/11/03 20:41,,"There are many ""dissident"" groups, e.g. the ""Scientific Group for Reappraising the HIV-AIDS Hypothesis"". Dissident scientists report that they are usually not invited to attend AIDS conferences and are not granted research funding. The doubts of the dissidents concern the following aspects of AIDS research: the existence of retroviruses, the validity of testing methods, epidemiological conclusions, the existence of an independent ""AIDS"" disease and the use of methods such as PCR and viral load. See http://www.virusmyth.org/.",,,,,,,,,,,,,,,,,,,,,,,,,
8944,9/15/03 9:05,,"There are many ""dissident"" groups, e.g. the ""Scientific Group for Reappraising the HIV-AIDS Hypothesis"". Dissident scientists report that they are usually not invited to attend AIDS conferences and are not granted research funding. The doubts of the dissidents concern the following aspects of AIDS research: the existence of retroviruses, the validity of testing methods, epidemiological conclusions, the existence of an independent ""AIDS"" disease and the use of methods such as PCR and viral load. See http://www.virusmyth.org/.",,,,,,,,,,,,,,,,,,,,,,,,,
8881,1/25/04 4:08,,,"Current treatment options primarily include combinations (""cocktails"") of 2 nucleoside analogue reverse transcriptase inhibitors (NRTIs), and 1 protease inhibitor (pronounced ""pro-tea-ace""). Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop.",,,,,,,,,,,,,,,,,,,,,,,,
8867,2/3/04 10:53,,,"Current treatment options primarily include combinations (""cocktails"") of two or more nucleoside analogue reverse transcriptase inhibitors (NRTIs), and protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment.",,,,,,,,,,,,,,,,,,,,,,,,
8866,2/3/04 11:04,,,"Current treatment options primarily include combinations (""cocktails"") of two or more nucleoside analogue reverse transcriptase inhibitors (NRTIs), and protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8861,2/3/04 12:12,,,"Current treatment options primarily include combinations (""cocktails"") of two or more nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
8853,2/27/04 4:48,,,"Current treatment options primarily include combinations (""cocktails"") of two or more nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.","Primary infection with HIV is called seroconversion, and may be accompanied by what is called ""seroconversion illness"" (an earlier term was ""AIDS prodrome""). Symptoms of this include mild flu-like symptoms such as fever, aching muscles and joints, sore throat, and swollen glands (lymph nodes), other symptoms, or by no symptoms at all. Regardless of the presence or absence of initial symptoms, all newly infected individuals become asymptomatic (symptom-free). The newly infected patient is actually most infectious during the seroconversion illness as it is during this time that the HIV viral load in the body is highest. At this stage, the virus is still multiplying rapidly, unchecked, because the body has not yet started to produce antibodies to the HIV virus in sufficient quantities to reach an equilibrium.",,,,,,,,,,,,,,,,,,,,,,,
8852,2/27/04 5:08,,,"Current optimal treatment options consist of combinations (""cocktails"") of two or more types of anti-retrovial agents such as two nucleoside analogue reverse transcriptase inhibitors (NRTIs), and a protease inhibitor. Patients on such treatments have been known to repeatedly test ""undetectable"" for HIV, but discontinuing therapy has thus far caused all such patients' viral loads to promptly increase. There is also concern with such regimens that drug resistance will eventually develop. In recent years the term HAART (highly-active anti-retroviral therapy) has been commonly used to describe this form of treatment. The majority of the world's infected individuals, unfortunately, do not have access to medications and treatments for HIV and AIDS.",,,,,,,,,,,,,,,,,,,,,,,,
